1,West Union
2,Bryan Center
3,Von der Heyden Pavilion
4,French Family Science Center
5,McClendon Tower
6,Levine Science Research Center
7,Law School
8,Smith Warehouse
9,Devil's Bistro
10,Divinity School
11,Freeman Center for Jewish Life
12,East Campus Union
13,Wilson Gym
14,Sanford School of Public Policy
15,Duke Gardens
16,CIEMAS
17,Duke Hospital
