1172,Medum McFlurry with Oreos,690,23,1,12,55,380,106,1,85,15,20,0,0,50,10
1173,Naan,137,5,0,3,13,142,19,1,1,3,3,0,0,2,6
1174,Garlic Naan,385,8,0,0,0,600,65,3,0,12,0,0,0,0,0
1175,Panir Tikka,322,12,0,5,16,447,38,2,12,3,0,0,0,0,0
1176,Chicken Malai Kebabs,384,14,0,4,39,302,39,1,2,23,0,0,0,0,0
1177,Fish Tandoori,267,7,0,2,28,295,20,2,6,18,0,0,0,0,0
1178,Shrimp Malai Kebab,220,7,0,3,22,290,23,2,2,15,0,0,0,0,0
1179,Chicken Tikka,457,13,1,5,43,402,44,1,2,22,0,0,0,0,0
1180,Chicken Tandoori,438,18,0,6,62,426,37,2,4,23,0,0,0,0,0
1181,Shrimp Tandoori,278,12,0,4,27,313,24,1,3,16,0,0,0,0,0
1182,Lamb Sheek Kebab,305,9,0,2,49,325,35,3,5,15,0,0,0,0,0
1183,Gulab Jamun,231,11,0,0,21,241,50,0,16,2,0,0,0,0,0
1184,Kheer,249,5,0,1,0,202,64,2,8,2,0,0,0,0,0
1185,Rasmalai,302,13,0,0,0,237,51,2,7,1,0,0,0,0,0
1186,Mango Lassi,138,7,0,2,33,158,38,4,14,0,0,0,0,0,0
1187,Strawberry Lassi,125,6,0,2,28,143,33,4,11,0,0,0,0,0,0
1188,Tangy Barbeque Sauce,50,0,0,0,0,260,12,0,10,0,2,0,0,0,0
1189,Sweet 'N Sour Sauce,50,0,0,0,0,150,12,0,10,0,2,0,0,0,0
1190,Premium Southwest Salad with Grilled Chicken,290,8,0,3,70,280,28,7,10,27,170,30,0,15,15
1191,Apple Pie,250,13,0,7,0,170,32,4,13,2,4,25,0,2,6
1192,Egg McMuffin,300,13,0,5,260,750,31,4,3,17,10,0,0,25,15
1193,Southern Style Chicken Biscuit,410,20,0,8,30,1180,41,2,3,17,0,2,0,6,15
1194,Sausage Burrito,300,16,0,7,115,790,26,1,2,12,10,2,0,15,15
1195,McRib,500,26,0,10,70,980,44,3,11,22,2,2,0,15,20
1196,Regular Madagascar Vanilla Frozen Yogurt,190,0,0,0,5,240,42,0,42,4,0,6,0,15,0
1197,Regular Cinnamon Frozen Yogurt,230,0,0,0,5,220,52,0,52,4,0,4,0,15,0
1198,Regular Mango Frozen Yogurt,240,0,0,0,5,250,55,0,55,4,0,4,0,15,0
1199,Regular Raspberry Cheesecake Frozen Yogurt,190,0,0,0,5,250,43,0,42,4,0,6,0,15,0
1200,Regular Milk Chocolate Frozen Yogurt,250,1,0,0,0,260,58,1,56,4,0,0,0,10,4
1201,Regular Strawberry-Banana Smoothie,240,1,0,0,5,230,55,3,49,5,0,100,0,15,2
1202,Regular Tropical Mango Smoothie,260,1,0,0,5,230,61,2,58,5,15,110,0,15,0
1203,Regular Berry Banana Smoothie,240,1,0,0,5,220,56,3,50,5,0,70,0,15,2
1204,Regular Apple Ginger Kale Smoothie,160,0,0,0,0,25,38,3,28,2,60,160,0,6,6
1205,Regular Pineapple Point Smoothie,240,0,0,0,0,200,56,2,49,3,2,90,0,10,2
1206,Mixed Berry Parfait,280,5,0,0,0,150,56,5,38,6,2,70,0,10,6
1207,Berry Power Protein Bowl,510,21,0,4,0,270,69,9,39,19,2,90,0,8,15
1208,Acai Berry Banana Bowl,320,5,0,1,0,75,75,7,44,6,2,35,0,6,8
1209,Beauty & The Greens Juice ,120,0,0,0,0,100,26,0,25,2,0,140,0,4,4
1210,Fred & Ginger Juice,180,0,0,0,0,85,66,0,46,2,0,30,0,4,6
1211,Sweet Kale Immunity Juice,150,0,0,0,0,75,34,0,32,3,0,90,0,4,4
1212,Spicy Cold Burner Juice,180,0,0,0,0,60,66,0,39,2,0,150,0,5,4
1213,Tropical Detox Juice,220,0,0,0,0,15,53,0,42,1,0,360,0,2,2
1214,Regular Pomegranate Protector Smoothie,310,2,0,1,30,240,61,2,54,15,0,15,0,70,2
1215,Regular Citrus Mango Greens Smoothie,170,1,0,0,0,25,41,4,32,3,80,220,0,6,8
